cell,dataset,partition,threat,strength,flip_rate,seed,arm,final_acc,delta_acc,gap,recovery,auroc,rounds_to_target,n_excluded_pairs,false_excl_pairs,excl_precision,excl_clients,false_excl_clients
cifar10_dir1_clean_g_seed0,cifar10,dir1,clean,main,,0,vanilla,0.638875,0.0,,,,72.0,,,,,
cifar10_dir1_clean_g_seed0,cifar10,dir1,clean,main,,0,flirds_gate_v1,0.64475,0.005875000000000075,,,,72.0,428.0,428.0,0.0,97.0,97.0
cifar10_dir1_clean_g_seed0,cifar10,dir1,clean,main,,0,flirds_gate_v2,0.624625,-0.014249999999999985,,,,75.0,4110.0,4110.0,0.0,47.0,47.0
cifar10_dir1_clean_g_seed0,cifar10,dir1,clean,main,,0,flirds_zgate_v2,0.6345,-0.004375000000000018,,,,73.0,,,,,
cifar10_dir1_clean_g_seed0,cifar10,dir1,clean,main,,0,flirds_gatew_v2,0.618875,-0.020000000000000018,,,,71.0,3403.0,3403.0,0.0,42.0,42.0
cifar10_dir1_clean_g_seed0,cifar10,dir1,clean,main,,0,flirds_gatew_v1,0.641875,0.0030000000000000027,,,,72.0,324.0,324.0,0.0,89.0,89.0
cifar10_dir1_clean_g_seed0,cifar10,dir1,clean,main,,0,flirds_mult,0.643375,0.0045000000000000595,,,,72.0,,,,,
cifar10_dir1_clean_g_seed1,cifar10,dir1,clean,main,,1,vanilla,0.633625,0.0,,,,74.0,,,,,
cifar10_dir1_clean_g_seed1,cifar10,dir1,clean,main,,1,flirds_gate_v1,0.638375,0.004750000000000032,,,,74.0,437.0,437.0,0.0,97.0,97.0
cifar10_dir1_clean_g_seed1,cifar10,dir1,clean,main,,1,flirds_gate_v2,0.639375,0.005750000000000033,,,,73.0,3152.0,3152.0,0.0,39.0,39.0
cifar10_dir1_clean_g_seed1,cifar10,dir1,clean,main,,1,flirds_zgate_v2,0.642375,0.008750000000000036,,,,73.0,,,,,
cifar10_dir1_clean_g_seed1,cifar10,dir1,clean,main,,1,flirds_gatew_v2,0.623625,-0.010000000000000009,,,,75.0,2860.0,2860.0,0.0,39.0,39.0
cifar10_dir1_clean_g_seed1,cifar10,dir1,clean,main,,1,flirds_gatew_v1,0.632125,-0.0014999999999999458,,,,74.0,325.0,325.0,0.0,93.0,93.0
