dataset,partition,threat,flip_rate,seed,source,clean_false_fire,corrupt_fire
cifar10,dir1,clean,,0,comfedsv,0.4266666666666667,
cifar10,dir1,clean,,0,fedif,0.16916666666666666,
cifar10,dir1,clean,,0,fedsv,0.4216666666666667,
cifar10,dir1,clean,,0,flirds,0.42333333333333334,
cifar10,dir1,clean,,0,flirds1st,0.16916666666666666,
cifar10,dir1,clean,,0,gtg,0.4225,
cifar10,dir1,clean,,0,lossheur,0.315,
cifar10,dir1,clean,,0,shapleyfl,0.4141666666666667,
cifar10,dir1,clean,,0,comfedsv,0.42833333333333334,
cifar10,dir1,clean,,0,fedif,0.16833333333333333,
cifar10,dir1,clean,,0,fedsv,0.4216666666666667,
cifar10,dir1,clean,,0,flirds,0.425,
cifar10,dir1,clean,,0,flirds1st,0.16833333333333333,
cifar10,dir1,clean,,0,gtg,0.42083333333333334,
cifar10,dir1,clean,,0,lossheur,0.31333333333333335,
cifar10,dir1,clean,,0,shapleyfl,0.41083333333333333,
cifar10,dir1,clean,,1,comfedsv,0.41583333333333333,
cifar10,dir1,clean,,1,fedif,0.15,
cifar10,dir1,clean,,1,fedsv,0.41833333333333333,
cifar10,dir1,clean,,1,flirds,0.4091666666666667,
cifar10,dir1,clean,,1,flirds1st,0.15,
cifar10,dir1,clean,,1,gtg,0.39666666666666667,
cifar10,dir1,clean,,1,lossheur,0.305,
cifar10,dir1,clean,,1,shapleyfl,0.3883333333333333,
cifar10,dir1,clean,,1,comfedsv,0.415,
cifar10,dir1,clean,,1,fedif,0.15166666666666667,
cifar10,dir1,clean,,1,fedsv,0.4191666666666667,
cifar10,dir1,clean,,1,flirds,0.4116666666666667,
cifar10,dir1,clean,,1,flirds1st,0.15166666666666667,
cifar10,dir1,clean,,1,gtg,0.39416666666666667,
cifar10,dir1,clean,,1,lossheur,0.3025,
cifar10,dir1,clean,,1,shapleyfl,0.3883333333333333,
cifar10,dir1,clean,,2,comfedsv,0.4241666666666667,
cifar10,dir1,clean,,2,fedif,0.17833333333333334,
cifar10,dir1,clean,,2,fedsv,0.4275,
cifar10,dir1,clean,,2,flirds,0.43833333333333335,
cifar10,dir1,clean,,2,flirds1st,0.17833333333333334,
cifar10,dir1,clean,,2,gtg,0.41083333333333333,
cifar10,dir1,clean,,2,lossheur,0.32416666666666666,
cifar10,dir1,clean,,2,shapleyfl,0.4091666666666667,
cifar10,dir1,clean,,2,comfedsv,0.42333333333333334,
cifar10,dir1,clean,,2,fedif,0.18,
cifar10,dir1,clean,,2,fedsv,0.425,
cifar10,dir1,clean,,2,flirds,0.44166666666666665,
cifar10,dir1,clean,,2,flirds1st,0.18,
cifar10,dir1,clean,,2,gtg,0.41833333333333333,
cifar10,dir1,clean,,2,lossheur,0.32416666666666666,
cifar10,dir1,clean,,2,shapleyfl,0.41083333333333333,
cifar10,dir1,free_rider,,0,comfedsv,0.6333333333333333,0.0
cifar10,dir1,free_rider,,0,fedif,0.20277777777777778,1.0
cifar10,dir1,free_rider,,0,fedsv,0.6444444444444445,0.0
cifar10,dir1,free_rider,,0,flirds,0.3902777777777778,1.0
