stage,stage_cell,source,policy,timing,score_corrupt_recovery,n_corrupt_cells,clean_delta,clean_parity_ok
cnn,dir1,lossheur,P1,online,0.707314275307542,9,-0.012458333333333349,False
cnn,dir1,flirds,P1,online,0.7065673138092522,9,-0.007374999999999983,False
cnn,dir1,flirds1st,P1,online,0.5074085602143212,9,-0.00045833333333330134,True
cnn,dir1,fedif,P1,online,0.43706932531146997,9,-0.00029166666666665303,True
cnn,dir1,shapleyfl,P1,online,-1.6224977097129243,9,-0.03437499999999997,False
cnn,dir1,gtg,P1,online,-1.6841959539011164,9,-0.033791666666666664,False
cnn,dir1,fedsv,P1,online,-1.7343918951132062,9,-0.04070833333333331,False
cnn,dir1,comfedsv,P1,online,-1.7927478262568246,9,-0.042583333333333306,False
cnn,dir1,flirds,P1,retrain,0.8386529265170617,9,-0.011124999999999977,False
cnn,dir1,lossheur,P1,retrain,0.7680715614808462,9,-0.00954166666666667,False
cnn,dir1,flirds1st,P1,retrain,0.7240966936134221,9,-0.00024999999999997247,True
cnn,dir1,fedif,P1,retrain,0.7187569980896775,9,0.002791666666666711,True
cnn,dir1,comfedsv,P1,retrain,-0.14240851029158474,9,-0.015708333333333286,False
cnn,dir1,gtg,P1,retrain,-0.17333762762664076,9,-0.01237499999999995,False
cnn,dir1,shapleyfl,P1,retrain,-0.20491076190450436,9,-0.016583333333333283,False
cnn,dir1,fedsv,P1,retrain,-0.22173145707001782,9,-0.022291666666666637,False
cnn,dir1,flirds,P1v1,online,0.7088894709193917,9,-0.0032083333333332944,True
cnn,dir1,fedif,P2,online,0.8216237585250455,9,-0.001374999999999978,True
cnn,dir1,lossheur,P2,online,0.7123488142541672,9,-0.011499999999999955,False
cnn,dir1,flirds,P2,online,0.6862118060240753,9,-0.020083333333333342,False
cnn,dir1,flirds1st,P2,online,0.3752832557545167,9,-0.001083333333333325,True
cnn,dir1,gtg,P2,online,-1.5970211185976204,9,-0.03125,False
cnn,dir1,fedsv,P2,online,-1.914714494996004,9,-0.03491666666666663,False
cnn,dir1,comfedsv,P2,online,-1.923964034431408,9,-0.04899999999999997,False
cnn,dir1,shapleyfl,P2,online,-1.9878676102082524,9,-0.03937499999999994,False
cnn,dir1,fedif,P2,retrain,0.9388354780478719,9,-0.0051249999999999725,True
cnn,dir1,lossheur,P2,retrain,0.659671477479137,9,-0.01737499999999999,False
cnn,dir1,flirds,P2,retrain,0.559956512482697,9,-0.026583333333333292,False
cnn,dir1,flirds1st,P2,retrain,0.5464384068945685,9,-0.0060833333333333295,False
cnn,dir1,gtg,P2,retrain,-0.9444671295573713,9,-0.02845833333333329,False
cnn,dir1,comfedsv,P2,retrain,-0.9726292610717616,9,-0.031166666666666676,False
cnn,dir1,fedsv,P2,retrain,-1.173977536070059,9,-0.02824999999999996,False
cnn,dir1,shapleyfl,P2,retrain,-1.238857701840459,9,-0.026124999999999954,False
cnn,dir1,fedif,P3,online,0.721269455314999,9,0.002250000000000011,True
cnn,dir1,lossheur,P3,online,0.49006764920725465,9,0.001875000000000034,True
cnn,dir1,flirds,P3,online,0.4826880678268161,9,0.003666666666666707,True
cnn,dir1,flirds1st,P3,online,0.3669785046211791,9,0.002583333333333382,True
cnn,dir1,shapleyfl,P3,online,0.1545358276602392,9,0.0023333333333333726,True
cnn,dir1,gtg,P3,online,0.13817791887058772,9,0.0016250000000000246,True
cnn,dir1,comfedsv,P3,online,0.10280879489047128,9,-0.0003749999999999772,True
cnn,dir1,fedsv,P3,online,0.08808709325648187,9,0.0012500000000000104,True
cnn,dir1,flirds1st,P4,online,0.12800501453043656,9,-0.0026249999999999516,True
cnn,dir1,flirds,P4,online,0.08631844515873527,9,-0.0047916666666666385,True
cnn,dir1,fedif,P4,online,0.08355970371267116,9,-0.0004166666666666208,True
cnn,dir1,lossheur,P4,online,0.007084781115817607,9,0.004333333333333374,True
cnn,dir1,comfedsv,P4,online,-0.014271685857202565,9,0.002375000000000016,True
cnn,dir1,gtg,P4,online,-0.031794198173288005,9,0.001083333333333325,True
cnn,dir1,shapleyfl,P4,online,-0.06088072101972012,9,-0.0005833333333333061,True
cnn,dir1,fedsv,P4,online,-0.10423335599972666,9,0.004708333333333388,True
cnn,dir1,flirds,P5h,online,0.6732136805780189,9,-0.0014166666666666217,True
cnn,dir1,lossheur,P5h,online,0.5923512448320459,9,-0.0021666666666666132,True
cnn,dir1,flirds1st,P5h,online,0.44772211500953574,9,8.333333333339817e-05,True
cnn,dir1,fedif,P5h,online,0.43939432851325333,9,0.0003333333333333706,True
cnn,dir1,gtg,P5h,online,-0.11530307334604283,9,-0.003749999999999957,True
cnn,dir1,comfedsv,P5h,online,-0.18886964324656078,9,-0.008999999999999972,False
cnn,dir1,fedsv,P5h,online,-0.2903206648765941,9,-0.008833333333333323,False
cnn,dir1,shapleyfl,P5h,online,-0.3721179476679557,9,-0.0034166666666666603,True
cnn,dir1,flirds,P5h,retrain,0.9957982015625613,9,-0.00554166666666663,True
cnn,dir1,lossheur,P5h,retrain,0.7639717823390744,9,-0.0018749999999999971,True
cnn,dir1,fedif,P5h,retrain,0.5776783129950557,9,0.0,True
cnn,dir1,flirds1st,P5h,retrain,0.5701270880265087,9,0.0,True
cnn,dir1,gtg,P5h,retrain,0.13598248750499772,9,-0.0025416666666666274,True
cnn,dir1,fedsv,P5h,retrain,0.12256840102610722,9,-0.0004999999999999819,True
cnn,dir1,shapleyfl,P5h,retrain,0.0639324544744469,9,-0.004916666666666643,True
cnn,dir1,comfedsv,P5h,retrain,0.02255520230914224,9,-8.333333333328714e-05,True
cnn,dir1,flirds,P5s,online,0.769766692903112,9,-0.0018333333333332795,True
cnn,dir1,lossheur,P5s,online,0.699033060774356,9,0.0014583333333333393,True
cnn,dir1,fedif,P5s,online,0.40527816152748425,9,0.0003333333333333706,True
cnn,dir1,flirds1st,P5s,online,0.385067265777402,9,-0.0001666666666666483,True
cnn,dir1,comfedsv,P5s,online,-0.0665316913256884,9,-0.0054583333333333055,True
cnn,dir1,fedsv,P5s,online,-0.08669687589515633,9,-0.005874999999999964,True
cnn,dir1,gtg,P5s,online,-0.16257184034162717,9,-0.005875000000000001,True
cnn,dir1,shapleyfl,P5s,online,-0.17648311540626396,9,-0.006458333333333306,False
cnn,dir1,flirds,P5s,retrain,0.874958469604529,9,-0.0038333333333333184,True
cnn,dir1,lossheur,P5s,retrain,0.7791220003959498,9,-0.0017916666666666359,True
cnn,dir1,flirds1st,P5s,retrain,0.6250204308166785,9,-0.00020833333333329188,True
cnn,dir1,fedif,P5s,retrain,0.6114347799999463,9,0.0009166666666666767,True
cnn,dir1,comfedsv,P5s,retrain,-0.09866568047432618,9,-0.007916666666666608,False
cnn,dir1,fedsv,P5s,retrain,-0.1570320007868242,9,-0.008666666666666637,False
cnn,dir1,gtg,P5s,retrain,-0.19555097889396922,9,-0.008624999999999994,False
cnn,dir1,shapleyfl,P5s,retrain,-0.372603046157893,9,-0.011333333333333306,False
llm,silo5,comfedsv,P1,online,1.91299557181618,3,,
llm,silo5,fedsv,P1,online,1.91299557181618,3,,
