dataset,partition,threat,flip_rate,seed,arm,source,policy,timing,final_acc,delta_acc,recovery,auroc,rounds_to_target,kept,skipped,dedup_shared
cifar10,dir1,clean,,0,comfedsv_cgate,comfedsv,P5h,online,0.63075,-0.008124999999999938,,,72.0,,,
cifar10,dir1,clean,,0,comfedsv_gate_v2,comfedsv,P1,online,0.5985,-0.04037499999999994,,,96.0,,,
cifar10,dir1,clean,,0,comfedsv_gatew_v2,comfedsv,P2,online,0.577625,-0.061249999999999916,,,,,,
cifar10,dir1,clean,,0,comfedsv_mult,comfedsv,P3,online,0.64275,0.003875000000000073,,,72.0,,,
cifar10,dir1,clean,,0,comfedsv_pweight,comfedsv,P5s,online,0.637375,-0.0014999999999999458,,,73.0,,,
cifar10,dir1,clean,,0,comfedsv_zgate_v2,comfedsv,P4,online,0.63825,-0.0006249999999999867,,,73.0,,,
cifar10,dir1,clean,,0,fedif_cgate,fedif,P5h,online,0.6395,0.0006249999999999867,,,73.0,,,
cifar10,dir1,clean,,0,fedif_gate_v2,fedif,P1,online,0.6375,-0.001375000000000015,,,71.0,,,
cifar10,dir1,clean,,0,fedif_gatew_v2,fedif,P2,online,0.642,0.0031250000000000444,,,73.0,,,
cifar10,dir1,clean,,0,fedif_mult,fedif,P3,online,0.6415,0.0026249999999999885,,,72.0,,,
cifar10,dir1,clean,,0,fedif_pweight,fedif,P5s,online,0.64175,0.002875000000000072,,,72.0,,,
cifar10,dir1,clean,,0,fedif_zgate_v2,fedif,P4,online,0.650625,0.011750000000000038,,,75.0,,,
cifar10,dir1,clean,,0,fedsv_cgate,fedsv,P5h,online,0.6295,-0.009375000000000022,,,72.0,,,
cifar10,dir1,clean,,0,fedsv_gate_v2,fedsv,P1,online,0.59175,-0.04712499999999997,,,105.0,,,
cifar10,dir1,clean,,0,fedsv_gatew_v2,fedsv,P2,online,0.60575,-0.03312499999999996,,,92.0,,,
cifar10,dir1,clean,,0,fedsv_mult,fedsv,P3,online,0.6445,0.005624999999999991,,,72.0,,,
cifar10,dir1,clean,,0,fedsv_pweight,fedsv,P5s,online,0.637625,-0.0012499999999999734,,,73.0,,,
cifar10,dir1,clean,,0,fedsv_zgate_v2,fedsv,P4,online,0.644375,0.00550000000000006,,,70.0,,,
cifar10,dir1,clean,,0,flirds1st_cgate,flirds1st,P5h,online,0.63875,-0.00012499999999993072,,,73.0,,,
cifar10,dir1,clean,,0,flirds1st_gate_v2,flirds1st,P1,online,0.6365,-0.002375000000000016,,,73.0,,,
cifar10,dir1,clean,,0,flirds1st_gatew_v2,flirds1st,P2,online,0.641125,0.0022499999999999742,,,73.0,,,
cifar10,dir1,clean,,0,flirds1st_mult,flirds1st,P3,online,0.64375,0.004875000000000074,,,72.0,,,
cifar10,dir1,clean,,0,flirds1st_pweight,flirds1st,P5s,online,0.641125,0.0022499999999999742,,,72.0,,,
cifar10,dir1,clean,,0,flirds1st_zgate_v2,flirds1st,P4,online,0.64475,0.005875000000000075,,,70.0,,,
cifar10,dir1,clean,,0,flirds_cgate,flirds,P5h,online,0.638875,0.0,,,73.0,,,
cifar10,dir1,clean,,0,flirds_gate_v1,flirds,P1v1,online,0.64475,0.005875000000000075,,,72.0,,,
cifar10,dir1,clean,,0,flirds_gate_v2,flirds,P1,online,0.624625,-0.014249999999999985,,,75.0,,,
cifar10,dir1,clean,,0,flirds_gatew_v1,,,,0.641875,0.0030000000000000027,,,72.0,,,
cifar10,dir1,clean,,0,flirds_gatew_v2,flirds,P2,online,0.618875,-0.020000000000000018,,,71.0,,,
cifar10,dir1,clean,,0,flirds_mult,flirds,P3,online,0.643375,0.0045000000000000595,,,72.0,,,
cifar10,dir1,clean,,0,flirds_pweight,flirds,P5s,online,0.637,-0.00187499999999996,,,76.0,,,
cifar10,dir1,clean,,0,flirds_zgate_v2,flirds,P4,online,0.6345,-0.004375000000000018,,,73.0,,,
cifar10,dir1,clean,,0,gtg_cgate,gtg,P5h,online,0.63875,-0.00012499999999993072,,,66.0,,,
cifar10,dir1,clean,,0,gtg_gate_v2,gtg,P1,online,0.606,-0.03287499999999999,,,85.0,,,
cifar10,dir1,clean,,0,gtg_gatew_v2,gtg,P2,online,0.618875,-0.020000000000000018,,,83.0,,,
cifar10,dir1,clean,,0,gtg_mult,gtg,P3,online,0.646875,0.008000000000000007,,,65.0,,,
cifar10,dir1,clean,,0,gtg_pweight,gtg,P5s,online,0.634625,-0.004249999999999976,,,76.0,,,
cifar10,dir1,clean,,0,gtg_zgate_v2,gtg,P4,online,0.642125,0.003249999999999975,,,73.0,,,
cifar10,dir1,clean,,0,lossheur_cgate,lossheur,P5h,online,0.638125,-0.0007499999999999174,,,73.0,,,
cifar10,dir1,clean,,0,lossheur_gate_v2,lossheur,P1,online,0.6275,-0.011375000000000024,,,79.0,,,
cifar10,dir1,clean,,0,lossheur_gatew_v2,lossheur,P2,online,0.633375,-0.005499999999999949,,,75.0,,,
cifar10,dir1,clean,,0,lossheur_mult,lossheur,P3,online,0.644875,0.006000000000000005,,,72.0,,,
cifar10,dir1,clean,,0,lossheur_pweight,lossheur,P5s,online,0.643125,0.004249999999999976,,,72.0,,,
cifar10,dir1,clean,,0,lossheur_zgate_v2,lossheur,P4,online,0.646,0.007125000000000048,,,75.0,,,
cifar10,dir1,clean,,0,observer,,,,0.637875,-0.0010000000000000009,,,72.0,,,
cifar10,dir1,clean,,0,shapleyfl_cgate,shapleyfl,P5h,online,0.637875,-0.0010000000000000009,,,72.0,,,
cifar10,dir1,clean,,0,shapleyfl_gate_v2,shapleyfl,P1,online,0.603875,-0.03499999999999992,,,88.0,,,
cifar10,dir1,clean,,0,shapleyfl_gatew_v2,shapleyfl,P2,online,0.600875,-0.03799999999999992,,,84.0,,,
cifar10,dir1,clean,,0,shapleyfl_mult,shapleyfl,P3,online,0.647,0.008125000000000049,,,65.0,,,
cifar10,dir1,clean,,0,shapleyfl_pweight,shapleyfl,P5s,online,0.63425,-0.00462499999999999,,,76.0,,,
cifar10,dir1,clean,,0,shapleyfl_zgate_v2,shapleyfl,P4,online,0.636625,-0.0022499999999999742,,,72.0,,,
cifar10,dir1,clean,,0,t2_csign_comfedsv,comfedsv,P5h,retrain,0.63675,-0.0021249999999999325,,,71.0,86.0,,False
cifar10,dir1,clean,,0,t2_csign_fedif,fedif,P5h,retrain,0.638875,0.0,,,,100.0,equals_vanilla,
cifar10,dir1,clean,,0,t2_csign_fedsv,fedsv,P5h,retrain,0.647875,0.009000000000000008,,,72.0,87.0,,False
